#漢字	音標	解釋
□	pʰəʔ8	拨拉
税	ɕyəi5	
稗	pʰᴇ6	
稚	tsʰɿ6	
稠	tsʰəɪ2	
穌	sʋ1	
穩	ʋəŋ3	
稻	tʰǫ6	
稼	tɕiɑ1	庄~
稽	tɕiᶨ1	
稿	kǫ3	
穄	tɕiᶨ1	芦~
穆	mɔʔ8	
穗	tɕʰyᶨ6	
穫	xuæʔ8	
穰	ʐã2	
穴	ɕyəʔ7	
穴	ɕiʊʔ8	
究	tɕiᵊʊ1	
窮	tɕʰiɔŋ2	
穹	tɕʰiɔŋ2	文
穹	kʰɔŋ2	白，鼓胀起来
空	kʰɔŋ1	
空	kʰɔŋ5	
穿	tsʰʊ̃1	
突	tʰəʔ8	
竊	tɕʰiʔ7	
窄	tsəʔ7	
竅	tɕʰiǫ5	
窯	iǫ2	
窒	tsəʔ7	
窒	tiʔ7	~头
窖	kǫ5	
窗	tsʰuã1	
窘	tɕiɔŋ3	
竄	tsʰʊ̃5	
窩	ᵊʊ1	
窟	kʰuəʔ7	
窠	kʰᵊʊ1	
窺	kʰuəi1	
竇	tʰəɪ6	
窨	iŋ5	
立	liəʔ8	
豎	sʋ6	
站	tsẽ5	
站	tɕiẽ5	又音，~店
競	tɕʰiŋ6	
竟	tɕiŋ5	
章	tsã1	
竣	tɕyŋ5	
童	tʰɔŋ2	
端	tʊ̃1	
竹	tsɔʔ7	
竺	tsɔʔ7	
竽	yᶨ2	
竿	kʊ̃1	
篤	tɔʔ7	
笆	pɑ1	
笊	tsǫ3	
笋	ɕyŋ3	竹~
笑	ɕiǫ5	
筆	piəʔ7	
笛	tʰiəʔ8	
笠	liəʔ8	
笡	tɕʰiɑ1	歪头
符	fʋ2	
笨	pʰəŋ5	
笨	pʰəŋ6	
第	tɕʰiᶨ6	
笸	pʰᵊʊ3	
箋	tɕʰĩ1	
籠	lɔŋ3	
等	təŋ3	
筋	tɕiŋ1	
筏	feʔ8	
筐	kʰuã1	
筑	tsɔʔ7	
筒	tʰɔŋ3	
答	teʔ7	
策	tsʰəʔ7	
篩	sᴇ1	
箏	tsəŋ1	
筢	pʰɑ2	
筷	kʰuᴇ5	
籌	tsʰəɪ2	
签	tɕʰĩ1	
簡	tɕiẽ3	文
簡	kẽ3	白
箇	kəʔ7	
箍	kʋ1	
箔	pʰæʔ8	
箕	tɕiᶨ1	
算	sʊ̃5	
箜	kʰɔŋ1	
管	kʊ̃3	
管	kuẽ3	不~
籮	lᵊʊ2	
籮	lᵊʊ1	淘~
簫	ɕiǫ1	
箬	ʐæʔ8	
箭	tɕĩ5	
箱	ɕiã1	
箸	tsʰʋ6	~笼
篆	tsʊ̃5	
篇	pʰĩ1	
簍	ləɪ3	
篙	kǫ1	
篝	kəɪ1	
篡	tsʰʊ̃5	
篡	tsʰuẽ5	
篦	pʰiᶨ3	~田:耙田
篦	pʰiᶨ6	~子
籃	lẽ2	
籬	liᶨ2	
篷	pʰɔŋ2	
篾	miʔ8	
簇	tsʰɔʔ7	
簇	tsʰɔʔ8	
簏	lɔʔ8	
簟	tʰĩ6	晒~
簧	xuã2	文
簧	uã2	白，弹~
簪	tsʊ̃1	
簸	pᵊʊ5	~箕
簸	pᵊʊ3	动词
簿	pʰʋ6	
籟	lᴇ6	
籍	tɕʰiəʔ8	
米	miᶨ3	
糴	tʰiəʔ8	
類	luəi6	
籼	ɕyĩ1	
籼	ɕĩ1	
籽	tsɿ3	
粉	fəŋ3	
粑	pɑ1	
粒	liəʔ8	
粕	pʰæʔ7	糟~
粕	pɔʔ7	豆~
粗	tsʰʋ1	
粘	nĩ2	
粟	sɔʔ7	
粤	iʊʔ8	
粥	tsɔʔ7	
糞	fəŋ5	
糧	liã2	
粯	xẽ6	
粱	liã2	
粲	tsʰẽ5	
粳	kəŋ1	
粹	tsʰuəi5	
糉	tsɔŋ5	
精	tɕiŋ1	
糝	sʊ̃3	播撒
糊	xʋ6	
糊	xʋ2	文
糊	kʰʋ2	白，~里~弄:糊里糊涂
糌	tsẽ1	
糍	tsʰɿ2	
糏	ɕiʔ7	面粉
糕	kǫ1	
糖	tʰã2	
糗	tɕʰiᵊʊ3	
糙	tsʰǫ5	
糜	miᶨ2	
糟	tsǫ1	
糠	kʰã1	
糨	tɕiã5	~子
糯	nᵊʊ6	
糯	nʊ̃1	又音
系	ɕiᶨ6	
紊	ʋəŋ3	
素	sʋ5	
索	sæʔ7	~子
索	səʔ7	抽打
緊	tɕiŋ3	
紫	tsɿ3	
累	luəi3	
累	luəi6	
累	luəi2	文
累	yᶨ2	白，~堆:累赘
絞	kǫ3	白
絮	ɕyᶨ5	
絻	mʊ̃2	~裆裤
繁	fẽ2	
繫	tɕiᶨ5	
繫	ɕiᶨ6	
糾	tɕiᵊʊ1	
紂	tsʰəɪ6	
纤	tɕʰĩ1	
纤	tɕʰĩ5	
約	iæʔ7	
級	tɕiəʔ7	
紀	tɕiᶨ3	
紉	ʐəŋ6	
紜	yŋ2	
純	suəŋ2	
紕	pʰiᶨ2	~漏
紗	sɑ1	
綱	kã1	
納	neʔ8	
納	nʊʔ8	
縱	tsɔŋ5	
綸	ləŋ2	
紛	fəŋ1	
紙	tsɿ3	
紋	ʋəŋ2	
紡	fã3	
紐	ȵiᵊʊ3	文
紐	nəɪ3	白
線	ɕĩ5	
練	lĩ6	
組	tsʋ3	
紳	səŋ1	
細	ɕiᶨ5	
織	tsəʔ7	
終	tsɔŋ1	
絆	pʊ̃5	
絆	pʰẽ5	
絀	tsʰʊʔ7	
絀	tsuəʔ7	
紹	sǫ2	
紹	sǫ6	
經	tɕiŋ1	
紿	tʰᴇ1	
綁	pã3	
絨	ʐɔŋ2	
結	tɕiʔ7	
繞	ʐǫ6	~圈
繞	ʐǫ3	围~
絎	xã2	
繪	xuəi6	
給	kəɪ3	
絢	ɕiʊ̃5	
絡	læʔ8	
絶	tɕʰyəʔ8	文，~对
絶	tɕʰyɪʔ8	旧音
絶	tɕʰiʔ8	白，灭门~户:形容十分糟糕
絞	tɕiǫ3	文
統	tʰɔŋ3	
絹	tɕiʊ̃5	
繡	ɕiᵊʊ5	
綏	ɕyᶨ1	
繼	tɕiᶨ5	
績	tɕiəʔ7	
緒	ɕyᶨ5	文
緒	tɕʰyᶨ6	白，头~
續	sɔʔ8	
綺	tɕʰiᶨ3	
綽	tsʰæʔ7	梳头
绱	sã6	
緄	kuəŋ3	
繩	səŋ2	
維	ʋəɪ2	
綿	mĩ2	
綬	səɪ6	
繃	pɔŋ1	
綢	tsʰəɪ2	
綹	ləɪ3	
綣	tɕʰiʊ̃3	
綜	tsɔŋ1	
綜	tsɔŋ5	
綻	tsʰẽ6	饱满
綰	ʋẽ3	
綠	lɔʔ8	
綴	tsuəi5	
緬	mĩ3	
纜	lẽ3	
緝	tɕʰiəʔ7	~鞋口
緞	tʰʊ̃6	
緩	xʊ̃3	
締	tɕiᶨ5	
縷	lyᶨ3	文
縷	ləɪ3	白
編	pĩ1	文
編	pʰĩ1	白
緣	iʊ̃2	
縛	pæʔ7	
縛	fæʔ7	
縟	ʐɔʔ8	
縝	tsəŋ3	
縫	fɔŋ2	~纫
縫	fɔŋ6	文，~隙
縫	pɔŋ5	白，门~儿
纏	tɕʰiʔ8	
纏	tɕʰĩ2	~绕
纏	tɕʰĩ6	~尸
縊	iəʔ7	
繽	piŋ1	
縹	pʰiǫ1	
縹	pʰiǫ3	
纓	iŋ1	
縮	sɔʔ7	
繆	miǫ6	姓
繆	məɪ2	绸~
繕	ɕĩ6	
繰	tɕʰiǫ1	文，~边
繰	kʰǫ6	白，~边
繳	tɕiǫ3	
缸	kã1	
缺	tɕʰiʊʔ7	
缺	tɕʰyɪʔ7	又音
罄	tɕʰiŋ5	
罈	tʰʊ̃2	
罐	kʊ̃5	
网	uã3	
罔	uã3	
羅	lᵊʊ2	
罰	feʔ8	
罡	kã1	
罷	pʰɑ6	
罩	tsǫ5	
罪	tsʰuəi6	文
罪	tɕʰyᶨ6	白
置	tsɿ5	
署	sʋ5	
罾	tsəŋ1	
羊	iã2	
羌	tɕʰiã1	
美	məɪ3	文
美	miᶨ3	白
羔	kǫ1	
羞	ɕiᵊʊ1	
羡	ɕĩ6	
群	tɕʰyŋ2	
義	iᶨ6	
羲	ɕiᶨ1	
羹	kəŋ1	
羽	yᶨ3	
翁	ʋɔŋ1	
翁	ŋɔŋ1	白
翅	tsɿ5	
翔	tɕʰiã2	
翕	ɕiᶨ2	~动:乱动;迅速移动
翕	ɕiəʔ8	风吹后，树叶、纸等抖动
翹	tɕʰiǫ5	
翹	tɕʰiǫ2	不平
翟	tʰiəʔ8	
翟	tsʰəʔ8	
翠	tsʰuəi5	
翡	fəɪ3	
翩	pʰĩ1	
翰	xʊ̃5	
翱	ŋǫ2	
翻	fẽ1	
翼	iəʔ8	
耀	iǫ5	
老	lǫ3	
考	kʰǫ3	
者	tsᴇ3	文
者	tsɑ3	白
而	ɚ2	
耍	suɑ3	
耐	nᴇ6	
耒	ləɪ2	~污老儿:扒灰农具
耕	kəŋ1	
耗	xǫ5	
耘	yŋ2	
耙	pʰɑ2	
耙	pʰɑ6	
耳	ɚ3	
耶	iɑ1	
耶	iᴇ5	语气词
耷	tæʔ7	
聳	sɔŋ3	
耻	tsʰɿ3	
耽	tẽ1	
耿	kəŋ3	
聶	niʔ8	
聆	liŋ2	
聊	liǫ2	
聾	lɔŋ2	
職	tsəʔ7	
聯	lĩ2	
聖	səŋ5	
聘	pʰiŋ5	
聚	tɕʰyᶨ6	
聵	kʰuəi5	
聰	tsʰɔŋ1	
聲	səŋ1	
肅	sɔʔ7	
肆	sɿ5	
肇	tsʰǫ6	
肉	ʐɔʔ8	
肋	ləʔ8	
肌	tɕiᶨ1	
肏	ʐəʔ8	
肓	xuã1	
肖	ɕiǫ1	
肖	ɕiǫ5	
肖	sǫ5	~属:生肖
肘	tsəɪ3	
肚	tʋ3	~子
肚	tʰʋ6	~脐眼
肛	kã1	
肝	kʊ̃1	
腸	tsʰã2	
股	kʋ3	
股	kᵊʊ3	屁~
肢	tsɿ1	
膚	fʋ1	
肥	fəɪ2	
肨	pʰã5	漂浮
肩	tɕĩ1	
肪	fã2	
肫	tsuəŋ1	
肫	təŋ6	鸡~子
骯	ŋã1	
肯	kʰəŋ3	
育	iɔʔ8	
肴	ɕiǫ2	
肴	iǫ2	
肺	fəɪ5	
腎	səŋ5	
腫	tsɔŋ3	
脹	tsã5	
脅	ɕiʔ7	
胃	ʋəɪ5	
胄	tsʰəɪ6	
膽	tẽ3	
背	pəɪ1	~包
背	pəɪ5	~脊
背	pʰiᶨ6	~书
背	pəɪ6	文
背	piᶨ6	白
胎	tʰᴇ1	
胖	pʰã5	
胚	pʰəɪ1	
胚	pʰiᶨ3	
胛	keʔ7	
胞	pǫ1	
胡	xʋ2	文，~乱
胡	ʋ̩2	白
胤	iŋ6	
朧	lɔŋ2	
胭	ĩ1	
胯	kʰuɑ5	
胰	iᶨ2	
胱	kuã1	
胳	kəʔ7	
膠	tɕiǫ1	文
膠	kǫ1	白
胸	ɕiɔŋ1	
胻	xəŋ5	
能	nəŋ2	
脂	tsɿ1	
脆	tsʰuəi5	文
脆	tɕʰyᶨ5	白
脉	mɔʔ8	
脊	tɕiəʔ7	
臍	tɕʰiᶨ2	
腦	nǫ3	
膿	nɔŋ2	
脖	pʰəʔ8	
脚	tɕiæʔ7	
脝	xəŋ5	慢性子、做事拖拉
脢	miᶨ2	脊侧之内
脬	pʰǫ1	尿~
脯	pʰʋ3	
脱	tʰʊʔ7	
脱	tʰʊʔ8	~单:换季换衣
腡	lᵊʊ2	~纹
臉	lĩ3	
脾	pʰiᶨ2	
腆	tʰĩ3	
腈	tɕʰiŋ2	~纶棉
臘	leʔ8	
腋	iᴇ6	文
腋	iəʔ8	白
腌	ŋẽ1	
腐	fʋ3	
腑	fʋ3	
腔	tɕʰiã1	
腕	ʊ̃5	
腥	ɕiŋ1	
腩	nʊ̃2	
腮	sᴇ1	
腰	iǫ1	
腱	tɕĩ5	
腹	fɔʔ7	
腺	ɕĩ5	
膩	ȵiᶨ6	
靦	mĩ3	
騰	tʰəŋ2	
腿	tʰuəi3	
膀	pã3	
膀	pʰã2	~胱
膀	pʰã3	脚~
膊	pæʔ7	
膏	kǫ1	
膏	kǫ5	~油
膘	piǫ1	
膛	tʰã2	
膜	mæʔ8	
膝	ɕiəʔ7	
膨	pʰɔŋ2	
膳	ɕĩ6	
臂	piəʔ7	
臃	iɔŋ1	
臊	sǫ1	
臟	tsʰã6	五~
臟	tsã5	心~
臢	tsẽ1	
臣	tsʰəŋ2	
臧	tsã5	姓
自	tsʰɿ6	
臭	tsʰəɪ5	
至	tsɿ5	
致	tsɿ5	
臻	tsəŋ1	
臼	tɕʰiᵊʊ6	
舀	iǫ3	
舂	sɔŋ1	~瞌睡，打瞌睡
舂	sɔŋ6	借字，低头俯身
舅	tɕʰiᵊʊ6	
輿	yᶨ2	
舋	ɕiŋ6	摇晃、摆动
舌	ɕiʔ8	
舍	sᴇ5	文
舍	sɑ5	白
舒	sʋ1	
舔	tʰĩ3	
舚	tʰĩ5	~鱼刺
舜	suəŋ5	
舞	ʋ̩3	
舟	tsəɪ1	
航	xã2	
般	pʊ̃1	文，~配
般	pʰẽ1	文，一~
般	pẽ1	普，~配
般	pʰʊ̃2	白，一~
艦	kʰẽ3	
艙	tsʰã1	
舶	pʰæʔ8	
舶	pʰɔʔ8	
舷	ɕĩ2	
船	tsʰʊ̃2	
艫	lʋ2	
艄	sǫ1	
艘	səɪ1	
艮	kəŋ3	
良	liã2	
艱	tɕiẽ1	文
色	səʔ7	
艷	ĩ6	
艾	ŋᴇ6	
節	tɕiʔ7	
芈	miᶨ3	
芊	tɕʰĩ1	
芋	yᶨ6	
芍	sæʔ8	
芒	mã2	
芙	fʋ2	
芝	tsɿ1	
芡	tɕʰĩ5	
芥	kᴇ5	~菜
蘆	lʋ2	
芫	ĩ2	
芬	fəŋ1	
芭	pɑ1	
芯	ɕiŋ1	
花	xuɑ1	
芳	fã1	
芸	yŋ2	
芹	tɕʰiŋ2	文
芹	tɕʰyŋ2	白
芽	ŋɑ2	
葦	ʋəɪ3	
莧	xẽ6	
蒼	tsʰã1	
苏	sʋ1	
苑	iʊ̃6	
苒	ʐĩ3	
苔	tʰᴇ1	
苔	tʰᴇ2	
苕	sǫ5	
苗	miǫ2	
苛	kʰᵊʊ1	
苜	mɔʔ8	
苞	pǫ1	
苟	kəɪ3	
苣	tɕyᶨ1	莴~
若	ʐæʔ8	
苦	kʰʋ3	
苯	pəŋ3	
英	iŋ1	
苴	tɕiɑ1	~镇
苴	tɕĩ1	训读，本为坚，~镇
蘋	pʰiŋ2	
茁	tsʊʔ7	
茂	məɪ6	
茂	mᵊʊ6	文
范	fẽ6	姓
范	fẽ5	模~
茄	tɕʰiɑ2	
茅	mǫ2	
茉	mʊʔ8	
莖	tɕiŋ5	
塋	iŋ2	文
塋	iʊ̃3	白，坟~
茗	miŋ2	
茜	tɕʰĩ5	
繭	tɕĩ3	
茫	mã2	
茬	tsʰɑ5	
茭	kǫ1	
茯	fɔʔ8	
茱	tsʋ1	
茴	xuəi2	
茵	iŋ1	
茶	tsʰɑ2	
茸	ʐɔŋ2	
茹	ʐʋ2	
茼	tʰɔŋ2	
草	tsʰǫ3	
荒	xuã1	
荔	liᶨ6	
莢	keʔ7	
蕎	tɕʰiǫ2	
薈	xuəi6	
薺	tɕʰiᶨ6	~菜
薺	tɕiᶨ1	荸~
蕩	tʰã6	
榮	iɔŋ2	
葷	xuəŋ1	
葷	xuəŋ5	葱蒜气味
熒	iŋ2	
蕁	tɕʰĩ2	
蓀	suəŋ1	
蔭	iŋ1	
藥	iæʔ8	
荷	xᵊʊ2	~花
荷	xʋ2	薄~
荷	kʰᵊʊ1	蘘~
荷	xᵊʊ6	负~
荸	pʰəʔ8	~荠
荻	tʰiəʔ8	
荼	tʰʋ2	
荽	ɕyᶨ1	
莅	liᶨ6	
莆	pʰʋ2	
莉	liᶨ6	
莎	sɑ1	
莓	məɪ2	
莫	mæʔ8	
萊	lᴇ2	
蓮	lĩ2	
蒔	tsʰɿ6	~秧
萵	ᵊʊ1	
获	xɔʔ8	
瑩	iŋ2	
鶯	iŋ1	
莽	mã3	
菇	kʋ1	
菊	tɕiɔʔ7	
菌	tɕyŋ1	文
菌	tɕʰiʊ̃6	白，~子:各类蘑菇
菜	tsʰᴇ5	
菠	pᵊʊ1	
菩	pʰʋ2	
菰	kʋ1	
菱	liŋ2	
菲	fəɪ1	
萃	tsʰuəi5	
萄	tʰǫ2	
萋	tɕʰiᶨ1	
萌	mɔŋ2	
萍	pʰiŋ2	
萎	ʋəɪ3	
蘿	lᵊʊ2	
螢	iŋ2	
營	iŋ2	
縈	iŋ2	
蕭	ɕiǫ1	
薩	seʔ7	菩~
萱	ɕiʊ̃1	
萸	yᶨ2	
萼	ŋæʔ8	
落	læʔ8	
著	tsʋ5	
葚	səŋ6	
葛	kʊʔ7	
葡	pʰʋ2	
董	tɔŋ3	
葩	pʰɑ1	
葫	xʋ2	
葬	tsã5	
葱	tsʰɔŋ1	
葵	kʰuəi2	
葺	tɕʰiəʔ7	
蒂	tɕiᶨ5	
蔣	tɕiã3	
蒙	mɔŋ2	
蒙	mɔŋ1	瞎猜
蒜	sʊ̃5	
蒲	pʰʋ2	
蒸	tsəŋ1	
蒿	xǫ1	
蓄	ɕiɔʔ7	
蓉	iɔŋ2	
蓑	sᵊʊ1	
蓖	pẽ1	~麻
藍	lẽ2	
蓬	pʰɔŋ2	
蔓	mʊ̃2	
蔓	mẽ6	
蔔	pʰɔʔ8	萝~
蔗	tsɑ1	
蔚	ʋəɪ5	
蔚	yəʔ7	
蔡	tsʰᴇ5	
蔬	sʋ1	
薔	tɕʰiã2	
藹	ŋᴇ3	
蔽	piᶨ5	
蕃	fẽ1	
蕉	tɕiǫ1	
蕊	ʐuəi3	
蕨	tɕiʊʔ7	
蘊	yŋ5	
蕻	xɔŋ5	菜~儿
薄	pʰæʔ8	
薅	xǫ1	
薑	tɕiã1	
薛	ɕyɪʔ7	
薦	tɕĩ5	
薪	ɕiŋ1	
薯	sʋ5	
薰	ɕyŋ1	
藉	tɕʰiəʔ8	
藏	tsʰã6	地~菩萨
藏	tsã5	西~
藏	tsʰã2	躲~
藐	miǫ3	
蘚	ɕĩ3	
藕	ŋəɪ3	
藝	iᶨ6	
藤	tʰəŋ2	
藩	fẽ1	
藩	fẽ2	~篱
藻	tsǫ3	
藿	xuæʔ7	
蘑	mᵊʊ2	
蘘	ʐã2	~荷
蘣	tʰɔŋ5	可愛，疼愛
蘸	tsẽ5	
虎	xʋ3	
虜	lʋ3	
虐	ȵiæʔ8	
慮	lyᶨ6	文
慮	ləɪ6	白
虔	tɕʰĩ2	
虚	ɕyᶨ1	
蟲	tsʰɔŋ2	
蟣	tɕiᶨ3	
虱	səʔ7	
虴	təʔ7	~蛨:蚱蜢
虹	xɔŋ2	
虹	kã5	
虼	kəʔ7	
雖	suəi1	文
雖	ɕyᶨ1	白
蝦	xɑ2	
蝦	ɕiɑ1	文，龙~
蝦	xɑ1	白，麻~儿
蝕	səʔ8	
蟻	iᶨ3	
螞	mɑ3	
蚊	ʋəŋ2	
蚌	pʰɔŋ6	
蚓	iŋ3	
蠶	tsʰʊ̃2	
蚜	ŋɑ2	
蚝	xǫ2	
蚣	kɔŋ1	
蚤	tsǫ3	
蚩	tsʰɿ1	
蚪	təɪ3	
蜆	ɕĩ3	
蚯	tɕʰiᵊʊ1	
蚱	tsɑ5	
蚶	xʊ̃1	
蛀	tsʋ5	
蛆	tɕʰyᶨ1	~虫
蛆	tɕyᶨ1	嚼~
蛇	sɑ2	
蠱	kʋ3	
蛋	tʰẽ6	
蠣	liᶨ6	
蟶	tsʰəŋ1	
蛐	tɕʰiɔʔ7	
蛔	xuəi2	
蛙	uɑ1	
蛛	tsʋ1	
蛤	kʊʔ7	
蛨	mɔʔ8	虴~:蚱蜢
蠻	mẽ2	
蟄	tɕʰiʔ8	惊~
螄	sɿ1	
蛹	iɔŋ3	
蛼	tsʰɑ1	~螯、~蛾:文蛤
蛾	ŋᵊʊ2	
蛾	xᵊʊ2	蛼~:文蛤
蜀	sɔʔ8	
蜂	fɔŋ2	
蜃	səŋ5	
蜇	tsəʔ7	~人
蜇	səʔ8	海~
蜈	ʋ̩2	
蜊	liᶨ6	
蜓	tʰiŋ2	
蜕	tʰuəi5	
蜕	tʰᵊʊ5	~壳
蝸	ᵊʊ1	
蜘	tsɿ1	
蜜	miəʔ8	
蜞	tɕiᶨ1	蟛~
蠟	leʔ8	
蜢	mɔŋ3	
蜻	tɕʰiŋ1	
蠅	iŋ1	
蟈	kɔʔ7	
蟬	tɕʰĩ2	
蠍	ɕiʔ7	
蝗	xuã2	
蝙	pĩ1	
蝠	fɔʔ7	
蝴	xʋ2	
蝶	tʰiʔ7	
蝶	tʰiʔ8	蝴~儿
螂	lã2	
螃	pʰã2	
融	iɔŋ2	
蟎	mʊ̃3	
螯	ŋǫ2	
螯	ᵊʊ1	蛼~:文蛤
螳	tʰã2	
螺	lᵊʊ1	~儿
螺	lᵊʊ2	~丝
蟀	ɕyəʔ7	~~儿，蟋蟀
蟆	mɑ2	
蟋	ɕiəʔ7	
蟑	tsã1	
蟒	mã3	
蟛	pʰɔŋ2	~蜞
蟠	pʰʊ̃2	
蟢	ɕiᶨ3	
蟹	xᴇ3	
蠓	mɔŋ3	
蠚	xæʔ7	贴近，靠上去
蠢	tsʰuəŋ3	
血	ɕiʊʔ7	流~
衅	ɕiŋ5	
行	ɕiŋ2	文，~鞋
行	xəŋ2	白，~船
行	xəŋ6	白，道~
行	xã2	银~
衍	ĩ3	
銜	xẽ2	
街	kᴇ1	
衙	iɑ2	
衡	xəŋ2	
衣	iᶨ1	
補	pʋ3	
表	piǫ3	
衩	tsʰɑ5	
衫	sẽ1	
襯	tsʰəŋ5	~衫
襯	tsʰuəŋ5	動詞
衭	fʋ1	
衮	kuəŋ3	
衰	suᴇ1	
衲	neʔ8	
衲	nʊʔ8	~子
衷	tsɔŋ1	
衹	tsɿ3	
袁	iʊ̃2	
襖	ŋǫ3	
袈	kɑ1	
袋	tʰᴇ6	
袍	pʰǫ2	
袒	tʰẽ3	
袖	ɕiᵊʊ5	文
袖	tɕʰiᵊʊ6	白，衣~
袜	ʋeʔ8	
袢	pʰẽ5	
袤	mǫ6	
被	pʰiᶨ6	
襲	tɕʰiəʔ8	
袱	fɔʔ8	
裁	tsʰᴇ2	
裂	liʔ8	
裝	tsuã1	
襠	tã1	
裔	iᶨ6	
裕	yᶨ6	
裙	tɕʰyŋ2	
裟	sɑ1	
褲	kʰʋ5	
襇	kẽ3	
裱	piǫ3	
裳	sã1	
裸	lᵊʊ3	
裹	kᵊʊ3	
製	tsɿ5	
褂	kuɑ5	
褐	xʊʔ8	
褒	pǫ1	
褓	pǫ3	
褥	ʐɔʔ8	
褪	tʰəŋ5	~裤子
褪	tʰuəi5	文
褶	tɕiʔ7	
襄	ɕiã1	
襟	tɕiŋ1	
襻	pʰẽ5	
西	tɕʰiᶨ1	
西	ɕiᶨ1	
要	iǫ1	
要	iǫ5	
覃	tʰʊ̃2	
覆	fɔʔ7	
見	tɕĩ5	~面
見	tɕiŋ3	看不~
見	tɕiŋ5	看~
觀	kʊ̃1	
觀	kʊ̃5	
規	kuəi1	
覓	miəʔ8	
視	sɿ5	文
視	sɿ6	白
覽	lẽ3	
覺	tɕiǫ5	文
覺	tɕiæʔ7	文
覺	kǫ5	白
覺	kæʔ7	白
角	kæʔ7	
解	tɕiᴇ3	文
解	ɕiᴇ6	文
解	kᴇ3	白
解	kᴇ5	白，锯木头
解	xᴇ6	白，姓
觸	tsʰɔʔ7	
言	ĩ2	
詹	tɕĩ1	
誂	tʰiǫ3	
譽	yᶨ6	
謄	tʰəŋ2	
誌	tsɿ5	
誓	sɿ6	
誼	iᶨ6	
謇	tɕĩ3	
識	tsɿ5	
警	tɕiŋ3	
議	iᶨ6	
計	tɕiᶨ5	
計	tɕʰiᶨ6	活~
訂	tiŋ5	
訂	tʰiŋ6	
訃	fʋ5	~告
認	ʐəŋ6	
譏	tɕiᶨ1	
訌	xɔŋ5	
討	tʰǫ3	
讓	ʐã6	
訖	tɕʰiəʔ7	
訓	ɕyŋ5	
訓	ɕiɔŋ5	白，斥责
訊	ɕiŋ5	
記	tɕiᶨ5	
講	tɕiã3	文
講	kã3	白
訥	nəʔ8	
許	ɕyᶨ3	
許	xᴇ3	哪~
訛	ŋᵊʊ2	
論	ləŋ2	
論	ləŋ6	
訟	sɔŋ5	
諷	fɔŋ3	
設	ɕiʔ7	
訪	fã3	
訣	tɕiʊʔ7	
证	tsəŋ5	
評	pʰiŋ2	
詛	tsʋ3	
識	səʔ7	
詐	tsɑ5	
訴	sʋ5	
診	tsəŋ1	
詞	tsʰɿ2	
譯	iəʔ8	
誆	kʰuã1	
試	sɿ5	
詩	sɿ1	
誠	tsʰəŋ2	
誅	tsʋ1	
話	xuɑ6	文
話	uɑ6	白，淡~
詬	kəɪ5	
詮	tɕʰiʊ̃2	
詭	kuəi3	
詢	ɕyŋ2	
該	kᴇ1	
詳	tɕʰiã2	
詫	tsʰɑ5	
諢	xuəŋ5	
誡	kᴇ5	
誣	fʋ2	
語	yᶨ3	
誤	ʋ̩6	
誘	iᵊʊ5	
誑	kʰuã2	
說	sʊʔ7	
誦	sɔŋ6	
請	tɕʰiŋ3	
諸	tsʋ1	
諾	næʔ8	
讀	tʰɔʔ8	
誹	fəɪ3	
課	kʰᵊʊ5	
誰	suəi2	
誰	ɕyəi2	
調	tʰiǫ2	~查
調	tʰiǫ2	~整
調	tʰiǫ6	~头
調	tiǫ5	声~
諒	liã6	
諄	tsuəŋ1	
談	tʰẽ2	
誼	iᶨ2	
謀	məɪ2	
諜	tʰiʔ8	
謊	xuã3	
諧	ɕiᴇ2	文
諧	xᴇ2	白
謔	ɕyəʔ7	
謂	ʋəɪ6	
諭	yᶨ6	
讒	tsʰẽ2	
諺	ĩ6	文
諦	tɕiᶨ5	
謎	miᶨ2	
謝	tɕʰiɑ6	
謡	iǫ2	
謗	pã5	
謙	tɕʰĩ1	
謹	tɕiŋ3	
謾	mẽ6	
謬	miᵊʊ6	
譚	tʰʊ̃2	
譜	pʰʋ3	
譴	tɕʰĩ3	
谷	kɔʔ7	
豁	xueʔ7	~口
豁	xʊʔ7	~嘴
豆	tʰəɪ6	
豇	kã1	
豉	sɿ6	
豌	ʊ̃1	
豕	sɿ3	牲~:家畜
豚	tʰəŋ2	
象	ɕiã5	文
象	tɕʰiã6	白
豪	xǫ2	
豫	yᶨ6	
豹	pǫ5	
豺	tsʰᴇ2	
貂	tiǫ1	
貉	xæʔ8	
貌	mǫ6	
貔	pʰiᶨ2	
貝	pəɪ5	
貞	tsəŋ1	
負	fʋ5	
貢	kɔŋ5	
財	tsʰᴇ2	
財	sᴇ2	招~:食用的牲畜舌头
責	tsəʔ7	
賢	ɕĩ2	
敗	pʰᴇ6	
賬	tsã5	
貨	xᵊʊ5	
質	tsəʔ7	
販	fẽ5	
貪	tʰʊ̃1	
貧	pʰiŋ2	
貶	pĩ3	
購	kəɪ5	
貯	tsʋ5	装
貫	kʊ̃5	
貫	kɔŋ5	通~手:手掌纹路横向贯通的手
貳	ɚ6	
賤	tɕʰĩ6	
賁	pəŋ1	
貼	tʰiʔ7	
貴	kuəi5	
貸	tʰᴇ6	
貿	məɪ6	
貿	mᵊʊ6	文
費	fəɪ5	
賀	xᵊʊ5	姓避讳音
賀	xᵊʊ6	祝~
賊	tsʰəʔ8	
賈	tɕiɑ3	文
賄	xuəi5	
賃	ʐəŋ6	~房:租房
